language,reference,prediction,corrected
ncx,"panolti, ne notoka","panolti, neno, toca. ya hablamos.","panolti, ne, roma. ma hablamos."
ncx,panpa nikita ken se tlateochiualistli.,"¡pampa nikita, que en set la te oche igual este!",panpa nikita ne ken se ma te nochi inuan estela
ncx,uan kiknomatiskiaj nekatej popolokaj uan tenejkej.,o a que no matisquiera necácte popolóca o anteleque.,", , ne ne matisquiera necácte popolóca , anteleque."
ncx,tlajka san kochtok.,dl. katszánkosztok!,tla katszánkosztok!
ncx,yala onimitsitak tiankisko.,γεια λα ο νεμινσίτα κυτιάνκισκο.,"γεια , , νεμινσίτα κυτιάνκισκο."
ncx,okajsikamak okinamikiaya kijyouis tlen okijyoui astatl ijkuak otlakuato ichan.,o casi que no hay que ir a la miquía ya que yo voy. teno que yo voy hasta el 4 de agosto.,", maski ne ne ma ne ik , ma miquía ma ne ye voy. ken ne ye kox hasta uel , ne agosto."
ncx,sepanian otikintlajtoltikej miakej amochmej.,"c'est panien au quintard d'altique, bien qu'elle m'aimait.","c'est kanin , quintard d'altique, ken qu'elle m'aimait."
ncx,"kema, tikyekseliskej.",¡emma! ¡dijese el isque!,¡emma! ¡dijese uel isque!
ncx,"nesi tiixtlamatki tekiua, tikixmati tlanauatili.",merci d'être là.,merci d'être là.
ncx,"ne, te, ye, tejuan, namejuan, yejuan","de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de, de,","ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne,"
ncx,yiyoaktsin,ее акцем.,", акцем."
ncx,"axkan nankimatiskej tlen kijtosneki, okinnankili tetlikuiti.","ashkan dan kima tisgeht lenkiht osneki, o kinnan kili te di kuiti.","axkan san kisa tisgeht lenkiht moneki, , inuan kilo te , kuali."
ncx,"ximotoki, tlasemanki.","simotoki, clase manqui","ximotoki, clase manqui"
ncx,juan mochiuas topili,juan mochihua stopili,juan mochiuas topili
ncx,tla mosiua nikan yetoskia.,glamocihuan y kanyetosquia,"glamocihuan , kanyetosquia"
ncx,¿katli tikijtoa okachi kualtsin?,katli di che toa o gaci qualzin,"¿katli , ne tla , mach qualzin"
ncx,juan nesi yiueue.,one nessie yihue wei,ne nesi yihue ken
ncx,tiktlapojpouilis tlajko tlen mitsteuikilia.,ticclapo o willis clascoclan meets the wikilea.,"ticclapo , willis clascoclan meets te wikilea."
ncx,techpaleuiki maniktlamamalti burro.,t'espale wiki mani klamamalti burro.,t'espale ik kanin klamamalti burro.
ncx,nintej tlakeualmej noaxkauan.,"nique, clac, que igual me, no es cargón.","nique, clac, ne inuan ne, ne , cargón."
ncx,nimantsin,niemand singt.,niman singt.
ncx,yala onikinmitak tiankisko.,chala onikimita tengisku,yala onikinmitak tengisku
ncx,amo onikmatiaya tiualaskia.,amonimatiyati walaskia,amonimatiyati walaskia
ncx,nikchixtos ma kichiuakan ken kijtoa tlanauatili.,"nikš ištos, makičiai kvagankėnki stuvą ca na vatylį.","nika ištos, makičiai kvagankėnki stuvą ma ma vatylį."
ncx,nikijtoa ye oyajki iuanjuan.,"никисто, где у тебя скилла он?","никисто, где , тебя скилла он?"
ncx,juan amo okinekiaya manimokaua.,نميش لسوكة وضليا موشة,نميش لسوكة وضليا موشة
ncx,"maya ok telpochtli, nimitstlajtlautia.",hvorlig der er mulighed for nogen kultur.,"hvorlig ken , mulighed hora non kultur."
ncx,seki amo uelis nion kitaskej okitsoyonikej se pitsokonetl.,la,ma
ncx,"notoka , noijki nechpaktia",que te digan impiluando la postura de agua para un bizcao bosque,ne te ipan impiluando ma postura ne axa axa uan bizcao bosque
ncx,"niyolpaki onimitsajsiko, ne notoka, ¿tlen timochiua?",năm වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�,ne වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
ncx,seki amatlakuilolmej tlen okijkuilo nekan tepajtiani.,the kitty-tickle will be one hour.,te kitty-tickle kilo ne ne hora
ncx,kiluia antonio.,i am not a good person.,", amo non , noo person."
ncx,"amo; maski ijkon, amo moneki.",ni no,ne ne
ncx,"tlanejnemiltej, itskuimej uan okseki.",ニアとナミでモスター,ニアとナミでモスター
ncx,"kitlakaitaskej, ijkon ken nochtin tekiuakej.",aquí es la caída que aquí conté en la chatin de kiwake,"aquí , ma caída ne aquí conté ken ma chatin ne kiwake"
ncx,onikitak moselti otitlakuajtoka.,oñiquitaque no se le tiene la cual tocar.,oñiquitaque ne se ne tlen ma iuan tocar.
ncx,yejuan nochipa nechtlajtlaniliaj seki tamali.,"et je ne suis pas n'est là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas là, je ne suis pas",", ne ne uits ipan nesi , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan , ne ne uits ipan"
ncx,ne noo nikneki xionyolpakto ken ne axkan ika uelik uan ajuijyak tlakuali.,"nén o nègne kishion jolpato, ken ne ash kan yta wèlik wan a hui hiak tla kuwali?","nin , nègne kishion jolpato, ken ne amo ken axa uelik san , poui miak tla kuali?"
ncx,axkan okualantoka uan oteosiuajtoka.,asegúrate que no te acuerdas de que te acuerdas.,asegúrate ne ne te acuerdas ne ne te acuerdas.
ncx,onikilka nikaltlatsakuas.,он и килька никольт латца куас.,", , килька никольт латца куас."
ncx,"nimechtlajtlautia, xiktekauilikan manechixkomakakan.","nemești la flăfie și tec, ca wilii, car, ma necii, iși, comă, că, car.","nemești ma flăfie , te, ma wilii, car, ma nochi, iși, moma, , yas."
ncx,"yika, xikonana tlen moaxka.",дикая щекона на тленмошко.,"дикая щекона , тленмошко."
ncx,amo moneki nimitsnakilis san ken mitspaktia.,ոման ման ման եկին ինչ նակիլի սանկեն ինչ պակտի է.,"ոման ման ման եկին ինչ նակիլի սանկեն ինչ պակտի ,"
ncx,nin kualkan sapanoa onitekipanok.,ni en cual cansa panoa ni tequipanoco,ne ken iuan panpa panpa ne tequipanoco
ncx,amo uelis nitlejkos ipan kuauitl.,"amoguelis, nitlescos y pancuauit.","amoguelis, nitlejkos , pancuauit."
ncx,kuali nimoestika,cu alinimostica.,", alinimostica."
ncx,"cirilo, tikchiaj kuali technankili.","sirilio, tic tic cua qualitic nankili","cirilo, ik ik axa qualitic nankili"
ncx,san iesso amo xikkixtili.,sanieso a moschik stili,"sanieso , moschik stili"
ncx,"notoka, ¿ken timoestika?",no toca. quédenme un estica.,ne roma. quédenme uan estica.
ncx,yala onamechitakej tiankisko.,y ala a una muchica que es franquisco.,", axa , axa muchica ne , franquisco."
ncx,"maya okualanki, niman okilnamik tlen ineuian okitokti astatl.",maya o kulanki niman o kilnamik tlen inebian oktokti basatl,"maya , kalaki niman , okilnamik tlen ineuian okitokti amatl"
ncx,juan akin motlalijtok.,هل ترى مطلالي؟,", ترى مطلالي؟"
ncx,¡titetajtsin maski amo tikuaistayak!,tite taas sinne aski ammottivar sajak.,te nias sinne maski ammottivar sajak.
ncx,"mach, mokuatitix amo uel ijkon kichiua.","mucho gusto, amamos mucho.","mach gusto, amamos mach."
ncx,ouetsiko ikuakpak se tepetl.,"ove 5 y 4 y 4, 7, 5.","ome , , , , , , ,"
ncx,¿kox nias nimechiluiti?,košnija s nimic iluiti.,"košnija , niman iluitl"
ncx,¿tlen ika nimitspaleuis?,tlénica nimitz-paleouis,tlénica nimitz-paleouis
ncx,"tlaseseya, seua.",¡las es ellas se hua!,"nias , ellas se iuan"
ncx,"itlako kiteititia tlanauatijtok, moneki kimauiliskej.",y te laco que te tía la nabatito monequiqui maulisque.,", te amo ne te tla ma nabatito monequiqui maulisque."
ncx,¿kech pasaje?,"quente, passacre!","quente, passacre!"
ncx,amitlaj nikchijtok,amitlja nikčitok.,amitla nikpixtok.
ncx,nimauiltis,¡ni ma willies!,ne ma willies!
ncx,xiknotsa se tepajtiani,שגנוץ זה טיפח דיני,"שגנוץ , טיפח דיני"
ncx,te nochipa tiktlajtlanilia seki tamali.,"teno chipati, la clanilia, se ki tamali.","ken chipati, ma clanilia, se , tamali."
ncx,¿tlen tikeleuia?,¡plenty que le guía!,¡plenty ne ne guía!
ncx,¿tlen hora kisa autobús?,¿clen hora quizá autobús?,¿tlen hora quizá autobús?
ncx,nitlatsiui,n'est-ce pas?,n'est-ce yas.
ncx,axkan amo nimajxilia,i can't i'm on the max chilean,", can't ik non te ma chilean"
ncx,nochipa teotlak nitekipanoa.,no chica teotlac ni te equipanua.,ne chica teotlak ne te equipanua.
ncx,juana motasneki ken maría.,"buen día, motasneaky ken maria.","iuan día, motasneki ken mania."
ncx,amo nikmati akin ouala.,amo nikmati akin ogwala.,amo nikmati akin ouala.
ncx,amo onikmatki akin ouala.,"amo, onik, makti, akin, ovala.","amo, nika makti, akin ouala."
ncx,¿tlen otikilka?,клен от и килька.,"клен , , килька."
ncx,¡tlamo!,tlamo.,amo.
ncx,¡yiyoaktsin!,gigio action!,gigio action!
ncx,yokualkan,yo cualcan,ye kualkan
ncx,nitliokoya,niitliokoja.,niitliokoja.
ncx,¿tlenon tikonchiuas?,klenon di konchigwas,"¿tlenon , konchigwas"
ncx,nesi nimokokoa,nesi ni mo kokoa,nesi ne amo kikua
ncx,¿katli tikijtoa okachi kuali?,ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ ὁ �,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
ncx,nimoseuiti,nimos de witty,nimo ne witty
ncx,yotikmachioti amatl tlen nikan nikpixtok.,διωτικματιωτη αματιτλαι νικανικπιστοκ,διωτικματιωτη αματιτλαι νικανικπιστοκ
ncx,kalaki estela ika itlaken se tlanauatilmatiani.,¡gracias por ver! ¡y para que se hagan todo lo que hay!,"¡gracias hora ver! , axa ne se hagan noo , ne maya"
ncx,yejuan nochipa kitlajtlaniliaj seki tamali.,y es bueno chipa que las clanilias se quitan mal.,", , bueno nochipa ne ma clanilias se quitan ma"
ncx,xikilnamiki moneki titekipanoskej.,"se quina miki, moneki y te equipanoske.","se juana nika, moneki , te equipanoske."
ncx,astatl omoilui sanenka ouala.,"hasta el omoíluy, sanenka o wala.","hasta uel omoíluy, sanenka , yala."
ncx,juan san tlapoua español.,juan sant lapoga español,juan san tlapoua español.
ncx,se yolkatl tlen moneki uan amitlaj tetoktia.,sello el katz en moniki o en amitla de toktia.,"sello uel katz ken moneki , ken amitla ne tetoktia."
ncx,eduviges se tokayotl non kintlaliliaj siuamej.,eduviges setokayo non-kintlalilia sihuame,eduviges setokayo non-kintlalilia sihuame
ncx,"se tonal, ouetsi ik iluikak se sitlali.",c'est tonnel ou et c'est qui le vous accèsait la vie?,"c'est tonnel ok , c'est poui ne poui accèsait ma vie?"
ncx,yala otlanki nitlatooka.,ya la otlanki ni tla toka.,ma ma otlanki ne tla ika.
ncx,"maya telpochhtli, ixtlamatki tepaj-tiani.",maya telpochli ishmatlaki tepahtyani,maya telpochtli ishmatlaki tepajtiani
ncx,amo miak kochi.,amo miacco ci.,amo miacco ik
ncx,nikneki tamali.,にくねきたまり,にくねきたまり
ncx,"semipan, makikaua tlen amo kuali inemilis.",semipan mahkikawa tlenamo kwali inemilis.,"semipan, makikaua tlenamo kuali inemilis."
ncx,"amo, okijto amo kineki tomin nikan ixpan tekiua.","amo, ok, to' amo, kineki to' min, nikkan ispan tekiwa","amo, ok kox amo, kineki kox miak nikan ipan tekiua"
ncx,juana motasneki ken inantsin.,juana motasneki keninansin,juana motasneki keninansin
ncx,"¡ah! ¡mamitstlajyouiltikan, nelkoyotl!","ah, mahmidslach y wiltikan el coyote.",", mahmidslach , wiltikan uel coyote."
ncx,ximotlali.,si mot lali,se amo kuali
ncx,astatl okalak itenpil ijtik otatl uan opejki kikua san yoliktsin.,"hasta el ocálar y tempil y tícota, van a pejar y coger.","hasta uel ocálar , itenpil , tícota, san , pejar , coger."
ncx,"¡telpokatsin, ixtlamatki tekiua, nimitstlakaita!","te al poco atzin, islamad ki te kiwa, nem its tlaka ita.","te , noo atzin, islamad , te kema, ne uits tlajka ika."
ncx,¿otiksiko español?,otixico español,otixico español.
ncx,amo nikseliskia uan niktlajtlaniskia tlen nikneki.,أمو نكسل السكية وان نكتلها لنسكية تلين نقي,أمو نكسل السكية وان نكتلها لنسكية تلين نقي
ncx,amo nikmati akin uits.,amon nigmati ya kengwits,amo nikmati ma kengwits
ncx,xikinmakakan itlaj yamanki kanin kochiskej.,sekirakan itlah jaman kikan ingko ciske.,sekirakan itlaj juan nikan ingko ciske.
ncx,nikan kajki tomin.,2間か吹きとみん,2間か吹きとみん
ncx,¿yala akin otikitak tiankisko?,ya la aquí no te quita que esco,ma ma aquí ne te uits ne iesso
ncx,"¿tlen uelis tiktliokolilis, antonio?",tlingüelis di clioccolili santonio,"tlingüelis , clioccolili antonio"
ncx,oyajki kanin sitlali ouetsiko uan ueyi otlaxotlalti.,oye que canicitlali o wetsiko. 1. weji o tlashotlalti.,"ome ne canicitlali , wetsiko. , nesi , tlashotlalti."
ncx,"¡omoyoliti netsaualkoyotl, oksemi nikijtos!","como yo le tienes a guacoyot, oxémen y quictos.","amo ye ne tienes , guacoyot, oxémen , quictos."
ncx,kox kimiktiskej panpa itlajtlakol.,"¡cóchame, que me quites que pampa, y te la he hecho la cola!","¡cóchame, ne ma uits ne padua, , te ma ne hecho ma cola!"
ncx,"panolti, namejuantsitsintin, notoka","para la próxima, no me juegáis sin ti, no toca.","axa ma próxima, ne ma juegáis nin te, ne roma."
ncx,ayakmo tiktlajtlanis tlaxtlauili.,"a y a comme on dit, que tu l'as mis, que tu l'as joué.",", , , ome non uits ne te nias kisa ne te nias joué."
ncx,¿mostla titekipanos?,como se hacien equiparnos,amo se hacien equiparnos
ncx,xikkauili makalaki.,συγκαού η λίμα καλάκι,"συγκαού , λίμα καλάκι"
ncx,"ken moneki, ken otimokajkej.",के रव ने की के रव ती मुकके,", , , , , , , मुकके"
ncx,ika tlen onikilui uan ye ineuian iixtlamatilis.,y que el único que se puede hacer es ir a la ciudad.,", ne uel nimo ne se ueue hacer , ik , ma ciudad."
ncx,¿ken tiktlajtlanis mamitsiknomatikan tla amo titeiknomati?,kendit las lannis mami chink nomatti kan lamu tteik nomatti,kendit ma lannis amo chink nomatti ken amo tteik nomatti
ncx,san tiyoltos uan techilnamikis.,"san dioldo, juan, techils, namikis.","san dioldo, juan techils, nimikis,"
ncx,xiktlajtlani makijto kox ikaj okitlasojtlak bonifacio.,"si es la slum en maquillito, coche el cao que es la sosa laboral en el faso.","se , ma slum ken maquillito, nochi uel amo ne , ma hora laboral ken uel amo."
ncx,amo onikalakki panpa otsaktoka.,අපි අපි අපි අපි අපි අපි අපි අපි,අපි අපි අපි අපි අපි අපි අපි අපි
ncx,sanenka titeena.,samenka titena.,sanenka titeena.
ncx,"kema, ne, nikan, iixpan tekiua, nikmaka.",kema ne ni kan ispan tekiwa ni maka.,"kema, ne ne ken ipan tekiua ne ika."
ncx,"tla ijkon, manechmakakan.",අපි කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් ක,"අපි කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් කින් ,"
ncx,"tla amo, kalijtik san mitstsajtsajtsilijtoskia.",تلاعبوا!,تلاعبوا!
ncx,"antonio, ueue cirilo, ximoketsakan.","antonio, huevo esirilo, shimo ketchakani.","antonio, huevo cirilo, nimo ketchakani."
ncx,namejuan nankipialiaj nanmocha tlakeualmej.,"no me voy a equipar a las mochas, la que igual me.","ne ma kox , equipar , ma mochan? ma ne inuan amo."
ncx,kox namejuantsitsin nankinektikaj nankonseliskej.,"costa mi guantití, no quinactica, no con celisque.","mostla ma guantití, ne quinactica, ne non celisque."
ncx,noijki nochi tlen nikpias tla ijkon nimitsmakixtiskia.,"noik yi nochitlen yi kpias, tla ekonimit magish tis gia.",ik ye nochitlen ye kipias tla ekonimit magish ik ika.
ncx,nikmati español.,"никматия, спанель.","никматия, спанель."
ncx,"san kiselis tlen okijto, amitla okse.",san quiselis tlenokisto amitlagoxe,san kiselis tlenokisto amitlagoxe
ncx,san timotonalpoloaj.,santimotonal polova,santimotonal polova
ncx,amo nechpaktia nin tlakuali.,أمونة شباكتية نينتلاكوالين,أمونة شباكتية نينتلاكوالين
ncx,"itoka baltazar, uits roma.","y toca balthazar, witch roma.",", hora baltazar, itech roma."
ncx,"uan non, san tla kichiuas ome tlamantli.","bueno, en el caso de la que se ha oído la semana.","bueno, ken uel amo ne ma ne se ma oído ma semana."
ncx,oniktlatlak tlaxkali.,ο νιπτλάτλας καλύ,", νιπτλάτλας καλύ"
ncx,matibiaj,mativia,matibiaj
ncx,"uelis nitlejkos ipan nin kuauitl, san amo nikneki.","ואליס נית לתקוסיפה נינקווית, סנאמון נית נקי.","ואליס נית לתקוסיפה נינקווית, סנאמון נית נקי."
ncx,xikilnamiki xitlachpano kalijtik.,και κυλαμίκια σήτλα τσπάνω καλύκτηκη,και κυλαμίκια σήτλα τσπάνω καλύκτηκη
ncx,yala onikitak tiankisko.,gjala onikitak tiankisko.,yala onikitak tiankisko.
ncx,"maski ijkon, se teiknomatis kipanauia ichikaualis tlakotl.","más que esto, se te equinó matis que panabuya y chicabalista.","ma ne esto, se te equinó matis ne panabuya , chicabalista."
ncx,noso ken tikiluiskia okotl amo makolini ikuakpak ijkuak tlaejeka.,"no so, que ente que el juez guía ha corte a un macolini cuapac y ca clagica.","ne , ne ne ne uel juan guía ma corte , uan makolini cuapac , ma clagica."
ncx,"ne, notoka , uan nitekipanoa ken",no toca o ni te equipa no va a quén.,"ne hora , ne te equipa ne ma , quén."
ncx,kochtok.,ごしとこ,ごしとこ
ncx,¿axkan amo kanaj otiuia?,askan amukana uti wea,axkan amukana te axa
ncx,"uan omipan, nikan teixpa makisenkaua.","bueno, mi pan, ni cantéis para maquise en caua.","bueno, ma ipan ne cantéis axa maquise ken seua."
ncx,"okiyaualokej, amo ouelitiaya cholos.",o que igual os que amo o el tía chulos,", ne inuan ok ne amo , uel tla cholos."
ncx,¡yinia! amo mamitsyolkoko.,كنية أمام ميتيول كوكو,كنية أمام ميتيول كوكو
ncx,axa amo,أشاء أمو,أشاء أمو
ncx,"kalakij tekiua, non ueyititokej, antonio, basanio, graciano, alfredo, santiago uan oksekimej.","¡claro que es este que va! no un huello y te toqué antonio, bassaño, graciano, alfredo, santiago, juan, oxequime.","¡claro ne , estela ne ma ne uan huello , te toqué antonio, bassaño, graciano, alfredo, santiago juan oxequime."
ncx,"panolti, ne nimo , notoka","panolki, ne, limo, no toca.","panolti, ne, amo, ne roma."
ncx,ne kuali nikita nikmokauis oktlajko.,nää koulun nekin tannit mukavuissa okkelaako.,ne koulun nekan tannit mukavuissa okkelaako.
ncx,tlanauatil kijtoa tla se pinotl noso ikaj non amo touan poui kitoktisneki se toaltepeikni.,la nueva tira es que la clase de los niños no se puede hacer con el amor de los niños.,"ma neka hora , ne ma clase ne kox nias ne se ueue hacer non uel amo ne kox niños."
ncx,machitlaj.,machite la,machite ma
ncx,"niyolpaki onimitsajsik, notoka, ne nechpaktia",njolpaki onemit sasik notoka en ečpaktia.,niyolpaki onemit sasik notoka ken ečpaktia.
ncx,"maski ijkon, noyolilis uan nosiua, niktemakaskia.",más que ir con no yo le liso a nosigua ni te me casquiera.,"ma ne ik non ne ye ne kilo , mosiua ne te ma casquiera."
ncx,"mayijki, nochtin otikmauiliayaj.",¡majijque! ¡noch 10 otigmauliaya!,"¡majijque! nochi , otigmauliaya!"
ncx,okachi ipati amo ken ikopil tekiua.,අවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිව,අවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිවිව
ncx,"nikan kajki, momauitsotsin, nikan xikonitie.",ni kan kahke mumawitotzin ni kan shikonitia,ne ken kajki mumawitotzin ne ken shikonitia
ncx,¿akin uits huamantla?,akin wich wa mantle.,akin mach ma mantle.
ncx,chokotsin okochki.,چکو چین اور کچھ کیا,چکو چین اور کچھ کیا
ncx,otikijto techmakaskia se xokotl.,"outro queita, o teixe macasquia, cês chocote.","outro queita, , teixpa macasquia, cês chocote."
ncx,"se siuatl nikpia, ika noyolo niktlasojtla.",sesi watnikpia ikanoiolo ni klazostla.,nesi watnikpia ikanoiolo ne klazostla.
ncx,te nochipa techtlajtlanilia seki tamali.,te enoche pa' te'ch'la'ch'la'n'elia'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a,te nochi ipan te'ch'la'ch'la'n'elia'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a
ncx,"tla amo, san timokokos.","¡claro! amo sántimo, cocos.","¡tlamo! amo sántimo, cholos."
ncx,¿se kikokolia non amo kimiktisneki?,sekikukulianon amu kimiktezniki,sekikukulianon amo kimiktezniki
ncx,"¿tlen mitsakuilia, pinotl?",تنمتزكولية بينات,تنمتزكولية بينات
ncx,tla intlanekilis tekiua uan nochtin non nikan katej.,la intla nequilista que fue a 1-18-9-19,"ma itlaj nequilista ne ne , 1-18-9-19"
ncx,¿akin iaxka non chikiuitl?,أكين يعاشقا نونجكي ويتل؟,أكين يعاشقا نونجكي ويتل؟
ncx,¿axkan ken timoestikaj?,asken kënti më vestiqa.,akin kënti ma vestiqa.
ncx,"panolti, notoka, niuits",panol ti no toka njewits.,panpa te ne itoka njewits.
ncx,nitlakoloniti,nettla colleniti,nettla colleniti
ncx,ijkon mitsmakatiaj uan moaxka.,اتمنى ان تنظروا بشكل جيد,"اتمنى , تنظروا بشكل جيد"
ncx,¡uan motlatlamochilia ika neujtli!,ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ �,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
ncx,yonankikajkej non techtlajkuililia ixtlamatki domingo.,yo no quiero que no te distraje la cuidad y la maté el domingo.,"ye ne quiero ne ne te distraje ma cuidad , ma amatl uel domingo."
ncx,¿tikmati akin amo uits?,te kumati akin amu wits?,te kuali akin amo uits?
ncx,tikmati nin ueyi uan kualtsin.,teg matini kwa iwan kwa jing?,te matini axa ipan axa jing?
ncx,tlen antonio mach.,klen antonio mach,ken antonio mach
ncx,"tlen kichiuas, kiteititis melauak tlen nikijtoa.","tlenki chi was, kitayititi tizme lawa tlenkihtoa.",otlanki nochi yas. kitayititi tizme axa tlenkihtoa.
ncx,yala ok onitlatookak.,"gėlė, o ką, o nintlato o ką.","gėlė, , , , nintlato , ika."
ncx,se tlajko kilo inakayo nikanka’ tlasemanki.,sétlas coquilo y en acayo ni canca clasemanqui.,"sétlas coquilo , ken achto ne panpa clasemanqui."
ncx,"kema, tlen kimokauis tekiua.",¡que más ten que mocao y te quiba!,"ueue ma ken ne mokal , te quiba!"
ncx,"ken ijkon yomochi, axkan titeiknomatis uan timoyolyamanis.",quien icono moche ascan la tecnología de los mayores yamanes?,quien icono mach axkan ma tecnología ne kox mayores yamanes?
ncx,tekiuajkapa uan tlanauatili.,teki wakapa wang tanawatili.,seki wakapa san tlanauatili.
ncx,xikchiua panpa titetlasojtla.,しっきりはパンパーって言ってたぞ,しっきりはパンパーって言ってたぞ
ncx,"juan tlakatl, telpochtli noso okichtli.",ման հտլակար տել ոշտի նոսողկիչթի,ման հտլակար տել ոշտի նոսողկիչթի
ncx,yinia.,pinnier,pinnier
ncx,"nochi, achto te tikpolos itlaj chipinili moesso.",no chi as to te chipenili ita moeso.,"ne nochi , te te chipinili ika moesso."
