language,reference,prediction,corrected
sei,¿isal haaya?,исаж. а я.,исаж. z x.
sei,canoaa hipcom yazaainim quih iiqui yihizj.,кануа и бком ясайным ки-ки и ди-и-исых.,кануа z бком ясайным ки-ки z ди-и-исых.
sei,"zacaam cop spaspoj taa ma, xicaquiziil ctamcö tacoi itzaxöt ma, yoosim.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,cmajiic coi xicaquiziil coi imanooczilca.,kuma hikku ehikaga sild kui manoksilga.,ma hikku ehikaga siij ai manoksilga.
sei,¿itqueefz?,είτε καίρες.,είτε καίρες.
sei,ma hsnazquim aha.,masz naszki ma.,aasa naszki ma.
sei,"xapoo com tooxi, hant yaait xo ixaap tapxa ma, cmaax yomapcö.",ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ �,z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z
sei,moxima quih hpyaapa.,μοχεμάκι η πιάπα.,μοχεμάκι z πιάπα.
sei,¿canoaa ihanaxz quih canoaa com coox contaquesx?,canua y anarch como canua como cor con taquesa,caama z anarch com caama com coi coi taquesa
sei,me yaniiqui nsoohitim aha.,me llani quiso y timah,me llani quiso z ticap
sei,siip quih zacaam quij ito cöiyapamas.,ක්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්,ක්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්
sei,eenim hacx hapácatx zo hayooht.,אינם אקחה פקת חרועיות.,אינם אקחה פקת חרועיות.
sei,¿quiihya iic me tap?,kyi ya ik me tap,ai aa ih me tap
sei,"hant ipot hax hac itaaila, ooti quij ittízotim, toc cömiihtim.",ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�,ḍᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗᵗ�
sei,"siml quih cöitcaaitax ma, icaalx iyomaaj.",סימלקי חווית קאיטח מה עיקס חיום מח.,סימלקי חווית קאיטח a! עיקס חיום ha.
sei,haaco aapa zo nsaai aha.,a koapaso insaya.,a! koapaso insaya.
sei,ihamoc cop hiiqui maanim.,අපි අපි අපි අපි අපි අපි අපි,අපි අපි අපි අපි අපි අපි අපි
sei,me hant com iti cömiitax hac mihiisax com impaain ihmiimzo.,me anki hiti kuitachak mi esach komim bain i imim shokhi.,me ai hiti kuitachak ai esach komim ai ai imám shokhi.
sei,czooxolcam coocj ih ihnyaa.,кшо хо шка мгок и ня,кшо a! шка мгок z a!
sei,he méjico hac ano sahcaail caha.,"ehh, méxico, no sacáisca.","ha, méjico ano sacáisca."
sei,"zixquisiil cop itneefc ma, yaha.",שחקיס יש כל התנף כמו יעה,שחקיס a! a! התנף כמו יעה
sei,¡haaco cop cola quizaj iti caahca hac hateiictim z ano coosnan!,ագոգապգոսաղի շարհիդիկակակակ ագատեղդիմ ու ոսնան։,ագոգապգոսաղի շարհիդիկակակակ ագատեղդիմ a! ոսնան։
sei,cmaax hoox cöiiha hizac pyeest cah ano mahcaalim iiha.,ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ ὤᾶ �,a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! z
sei,hásatoj ccamla coi cohpsitalhaa aha.,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,xepe com xahtaasim.,חפה כומחתסים,חפה כומחתסים
sei,haaco ihyaai cop ihsasxapa aha.,ā koi yai kop yisas hapa ā,z coi ai cop iisax aapa z
sei,¿insaticpan haaya?,insatik panaya.,insatik panaal
sei,"cmaacoj tiquij comcaii aal quij hoox itacoxl, yáhitim.","куа-кохтиких, комгаяских, оры, тако хся этим.","куа-кохтиких, комгаяских, оры, тако хся этим."
sei,"pohamoc ta, hasaaitoj aha.",פועמוק תעשה איתו חה,פועמוק תעשה איתו a!
sei,xiica hapahit pac toc cöyaii tax ¿intaaplim intaaix?,kika apagtukiyay dahil nga pwede.,hita apagtukiyay dahil aa pwede.
sei,zixquisiil cmaa hapx caap com itoozj quih cói cocpám oo ha.,se que es el cual apacab como y todos que coigo con amor a...,ee ee ee ee aal apacab com z coos ee coi coi aamo aha.
sei,"poofp x, saticpan ca haquix miih.","puff, da liegt man ja nicht mehr.","puff, aa liegt an aa nicht mee."
sei,icahii ihmaa mos pac toc cömiihca.,ika ii mamu spak to kuiga.,iha ai aamo apa ito kuiga.
sei,queelexolca pti cyai coocj hacx ihyaailx.,כשר עושקה פתיגיי בוק עקר איאל,כשר עושקה פתיגיי בוק עקר איאל
sei,he hicmiiquet cah heecot cöhimom iha.,y cuy que cae con tu mome a,z ca ee ca coi ta moma a!
sei,"hiiqui cöpohaita x, saapl caha.",ikikpo ay takh sabz ka,ikikpo a! ah eaz aa
sei,haaco quih isxáp hac hin hant yahjiit.,ākogis ḥapak innan tyahid.,ākogis aapa innan tyahid.
sei,icaaitom quiipe quih iiqui imiitni.,इकाई तुम की पेगे की मितने,इकाई तुम a! पेगे a! मितने
sei,he sooda sooi caha.,えーソラソイカ,えーソラソイカ
sei,"iquiisax com iihom cöiizoj hac, taax ziix quiipe ha.","ich gehe jetzt auch in den wunsch, um das zu sehen, dass ich hier bin.","ih hehe jetzt ah an an wunsch, a! a! z sehen, aasa ih he hi."
sei,comcaii quij isxeen oo yooitom.,como cae que es género y oído.,com ca ee ee género z oo.
sei,iiqui imiin hac iiqui moqueetx iha.,y que me enlaquequemos que es tría.,z ee me enlaquequemos ee ee taa.
sei,ano yaait cop zaah quij iitax quih iiqui iipxa cop cöiyoomjc.,ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ ὅ �,z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z
sei,peen zo he macaatla.,penso emma katza,hanso cmaa ata
sei,"cöhihiim hac ano cöipitaai ta, ¡hacaalim!",buemagano wipetaita akasim.,buemagano wipetaita akasim.
sei,moxima hihiisax com xaafzx xo cmaax hihiisax com ipot yoozoj.,מוהם מה אייסח כמחו' שחו' כוח אייסח כמפותיוסו,מוהם a! אייסח כמחו' שחו' כוח אייסח כמפותיוסו
sei,icatoomec tazo poome ta ¿me scamahzaacat queeya?,y que atome el tesopo de la mezcla maracra que haya.,z ee poome ee tesopo ee aa mezcla maracra ee hayaa
sei,"ipos itajíz ma, cos ixaai hapaztoj pac ipnij hac an imahootxöquij.",υπόζητα χρησιμακός σιχάει απαστοχοπνίχα γανήμα ότυχοι.,υπόζητα χρησιμακός σιχάει απαστοχοπνίχα γανήμα ότυχοι.
sei,"¡haquejöc hipcom hamác quij cohziictim, stal!",a ke o hwik kom a makki hkosik tim stas.,a! ee oo hai com a! mazi hkosik him itasi
sei,"yaapapim, itiixim.",יפה בן איטחים,יפה a! איטחים
sei,hihaait quih anxö hapx miip.,יאי ידקי ענו אבחמב,יאי ידקי ענו אבחמב
sei,juan quij hahoocj iha.,"juan, geh'a'ok'i ahn.",juan geh'a'ok'i aha.
sei,hita quij ziix iyaatim.,и так их шея грядим.,z так a! шея грядим.
sei,mihimoz quih iti hsaai aha.,mi im moski iti saaya,ai him cosi iti aapa
sei,¡hahoot hac ihcaptxö!,"a autre, d'accord.","a! autre, d'accord."
sei,moosni quih sooyam caha.,mosniki soyamka,mosniki soyamka
sei,"haquejöc pac itamjc ma, cmaax ihpmiquejöc.","aquerro para que estamos com a comagre, me querro.","aquerro aa ee estamos com a! comagre, me querro."
sei,hamazaj quij hax quih hax iyaam oo.,המשח כך כך ימו,המשח a! a! ימו
sei,"hasaaiti quih cötootij ma, cöhatahémelcoj, heme hamiizcam.","αςάειται και εγώ το τυχμάγω, αλλά εμές πω, εμέ αμής καμπή.","αςάειται και εγώ a! τυχμάγω, αλλά εμές ha, εμέ αμής καμπή."
sei,hitrooqui quij hasaaiti coozlil quih ano hsahaama aha.,и трогиких азайтий кослевский анносаамма,z трогиких азайтий кослевский анносаамма
sei,yeen iiqui hamitooij.,yen niki amitoich.,yeen hipi amitoich.
sei,hamiime com cöyoonoj.,amén me comquiono.,an me comquiono.
sei,"hast quij iti hptozám, cohtmihzx, hant ihptahjiit ma, hitoaa cop miictim.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,hax hant xah zo hasoziit aha.,אך אנט חשו אז עושית,a! אנט חשו a! עושית
sei,hahoot hac iiqui maanim.,aot akiki manim.,a! akiki maanim.
sei,ctam ticop zixquisiil cop iiqui iyahípacot.,que también se puede hacer.,ee también ee puede hac.
sei,"haa nthiihat iti, matix xah ihaapl cop hiiix ih haxoj hamooiti.","אין אי עד את זה, מתחי אבסקופ אי איך אחור עמודי","אין a! a! a! ha, מתחי אבסקופ a! איך אחור עמודי"
sei,siitax ca poho.,"si, tal capo.",ai aal caha.
sei,eenim quih hapx iyooca.,اے نم کیا پریوکہ؟,a! a! کیا پریوکہ؟
sei,he hast ssizj caha.,and that's it.,an that's it
sei,trooqui hipquij cohpsacaato aha.,2 1 kopsa káto a,z z cosa ito a!
sei,cösiinoj caha.,sieh'n noch gar...,sieh'n moca gar...
sei,heezitim máquina quij ano hiifp ihpyazooxolcam.,έσει την μάκυνα και η ανωήφ η πιασόχρος τα μη.,έσει την μάκυνα και z ανωήφ z πιασόχρος a! ha.
sei,miiquet quih ihacaatol xoaatim.,میکیٹ کے یا کاتش خواہتیم,میکیٹ a! a! کاتش خواہتیم
sei,hant ma hsiixquim aha.,أنت ما سيخجمها,أنت a! سيخجمها
sei,hiiholx ihxooin.,en dat is het gehoor.,an a! is he gehoor.
sei,"hax himiim oo cohtáh, ihpyatj.","אח, אימים או כותה, איפיית","ha, אימים a! כותה, איפיית"
sei,haxaaza com coaanj iha.,akhashakum kwanhia,akhashakum kwanhia
sei,"ziix cyaam z iti cösama caha, cömisiifp hac.",ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ �,a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! z
sei,"cöipaspoj hizac ano cöihitaai hac hant thanl tazo cöitáh, toc contica iihi.",kwi pas po hishak anukw yi tayak an tan stashokw yi tatokondekkai.,ai pac oo hiihax anukw ai hayaa an an stashokw ai tatokondekkai.
sei,"tiix taaitom x, hanso yáxapim.",dicht de eetung aan zo'n jachtgaping.,dicht ee eetung aa zo jachtgaping.
sei,¿teet?,take,ta
sei,¿hant tomcoj cöitáh?,한 통국을 다,z 통국을 z
sei,caamiz hapaasj quih hai cop hax iyahoalali oo.,come and watch the icup video.,com an watch he cap video.
sei,com cói csiijim oo ha.,como que si jimua,com ee ai jimua
sei,moxima quih panaal hayocaat.,mohemma que panaz ayucat.,mohemma ee panaal ayucat.
sei,"itacoaazj, icamitc hax caziim oo pac ano cöiyaaspoj.",התקווה שיגע מת אכקשם ופקענו כויה אספוך,התקווה שיגע a! אכקשם ופקענו כויה אספוך
sei,"cmaacoj quih haas quih anxö ipoomjc ta x, hita isapamjöc aha.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,"compamaxp ta x, saziim aha.",כמו במחפטח ששעימה,כמו במחפטח ששעימה
sei,caha quih saha caha.,ke agis agar,ee ai aa
sei,"peez cooitom cömaaipot, haaonam quij iicp hac.",peškoj tom k maj pod a v nám kechík pat.,peškoj tom z ma coi a! z com kechík ata
sei,¿zó hahoot hac it aalam?,show out to the azem.,ho. it ito he azám!
sei,"hantx cömiiha hac, hamoiij tiquij comcaaccmajiic z imacaalam, yoocyo.",אני חושב שזה מוגע של המקע של הניוקיות.,אני חושב שזה מוגע a! המקע a! הניוקיות.
sei,hax hapasi hizcap iicp me hsaaix aha.,հախ ապաս իշկապ իպ մեսայխան.,հախ ապաս իշկապ a! մեսայխան.
sei,hiifp quih iizax tazo íti coofin iha.,wie aufgehe ich das so in die kohle näher?,ai aufgehe ih a! oo an ai kohle näher?
sei,zixcám quih insapxasit aha.,שחקם גאין זו פרסיטה,שחקם גאין a! פרסיטה
sei,¿miisax cötsiijim?,месах цихим!,месах цихим!
sei,"cosi quih iihax coha ha, cöiizquim hac.",ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
