language,reference,prediction,corrected
sei,zaah hipcap hoocala cösaanim caha.,zaahip cop hocal hapsanim caha.,saahit cop hacat hapsanim caha.
sei,"eenm an icaaspoj ihyaa cah hiti tpaso ma, he tiix cösaasot caha.","eenm an icaaspoj ihyaa ca, iti tpasoma, itiix cösaasotcaa an.","eenm an cöicaaspoj hyaa ca, iti tpasoma, itii cösaasotcaa an"
sei,¡cöihiihat quih hino camx!,coi hihat quih inocám.,coi haat quih iyocát.
sei,cohsahita haa hi.,cohsahit taa haa hi.,cohsaai taa haa hi.
sei,hehe hascám quij hesen coi cöihahasjoj imiiix.,hehe hascám quij heseen coi cöihahasjoj iimiij.,hehe hascám quij hesen coi cöihahasjoj cömiij.
sei,¿zímjöc pti tihiicx?,"zimjöc, titi hiicj.",zimjöc iti hiic
sei,zo?,¿zói?,¿zó
sei,¡hiza hiizc!,¡hiza hiizc!,hiza hiic
sei,"hant an icocoho ihapooin quih hanso toalali ma, cohyopooin.","hant han icocoho iha pooin quih hansotoaal halima, cohyoopooin.","hant an ocoho iha cooil quih hansotoaal halima, cohyoopooin."
sei,tiix sahoocj ca teeme.,¡tiix sahoc ca teme!,tiix saao ca teme
sei,"hax ihoopatj cah canoaa com tpamiz ma, hamiixant.","hax ihoopatj cah canoaa com pammiz ma, hamiixat.","hax ihoopatj cah canoaa com caamiz ma, hamiixat."
sei,hanso moopol.,¡hansomoohpol!,¡hansomoohpol!
sei,"comcaac ctamcö coi haa toii ma, pte itacóyetol, iicp ityai ma, hans ihamoc imqués.","comcaac ctamc coi haatoi ma, tehtacöiyetol, iicp ihtyaai ma, hansi hammooquimques.","comcaac ctam coi haacni ma, tehtacöiyetol, iicp ihtaai ma, hanso hammooquimques."
sei,matoj coi cömascommimjöc aha.,matoj coi masc comimjöc aha.,satoj coi haac comimjöc aha.
sei,ziix xepe an hant coiitim com hapx yajöz.,ziix xepe an hant coiitim com hapx yaajz.,ziix xepe an hant coiitim com hapx xaaj.
sei,"hap inaail quih itacaaitic, haat ixaai coi ano cöitjiit, iyaheel.","hap inaail quih itacaa iticc, haa tixaai coi ano coitjit, iyaheeel.","hap inaail quih itaca, itaca, haa hihaai coi ano coitjit, iyaheeel."
sei,haso quih haa ihaaco quih hoopatj cop hanso iyamápojquim.,haso quih haai haaco quih opat cop hanso iyamapojquim.,haso quih haai haaco quih cpatj cop hanso iyamapojquim.
sei,"xapoo timoca cöpopeemetx, seesen caha.","xapoo timocal cop emetx, seeces caha.","xapoo timoca cop emetx, seehe caha."
sei,hax cop cahcniiix iha.,hax cop cahquniiix iha.,hax cop cahcniiix iha.
sei,"trooqui hantx moca quih ihapoiinim quih iti tap ma x, cötahpoiinim ma x, yiisaxim.","trooqui hantx ncca quih ihapoinim quih iti tap ma x, cahpoiinim ma x, yiisajim.","trooqui hantx ca quih ihapoinim quih iti tap ma x, cahpoiinim ma x, yiisajim."
sei,"hant isiijim quih haacöt pac hant itjeaatim, yoocyo.","hant isiiijim quih haacöt pac hant itjeaatim, yoocyo.",hant csiijim quih haacöt pac hant itjeaatim? yoocyo.
sei,iyonípatim.,iyon ipaatim.,iho. iyaaitim.
sei,"tom icocosot, taax haptco coopot iha.","tom iicocosot ta x, haptco coopot iha.","tom iicocosot ta x, haptco coopol iha."
sei,hast ihmeefelim.,hast himefelim.,hast himefelim.
sei,"ziix ipxasi cmiipla zo hpoohit ta x, hiiqui saa aha.","ziix ihpxasi cmiipla zo ihpohit tax, iiqui saaha ha.","ziix ipxasi cmiipla zo hoohit tax, iiqui caaha ha."
sei,hant miisaquim ihmiimzo.,hant cmiis hacim ihmim zo.,hant cmiih cactim hihiim oo.
sei,"hap ipxasi quih htahit ma x, hamatj him xaaxit.","hap ipxasi quih itahit ma x, hamatj, him maxit.","hap ipxasi quih itahit ma x, hamatj him maahit."
sei,"hant cmizj com iti toii, ziix coqueht ptiiqui hant iyamaasilcoj.","hant cömiizj com iti toii ziix coquee, tiqui hant iyamasilcoj.",hant cömiiha com iti toii ziix comqueej iiqui hant iyamasilcoj.
sei,hisoj ihsaazj haa hi.,hisoj ihsaazj haa hi.,hisoj ihsaacj haa hi.
sei,"ziix hapahit quih anxö me hpaahitim, mazi hsacaapxom aha.","ziix hapahit quih anxö x, mee haahitim ma, ziih sacapjö aha.","ziix hapahit quih anxö x, hee caaitim ma, piih sacapjö aha."
sei,mipac hac hapx cohpsiip aha.,miipac hac hapx cohpsiip aha.,ipac hac hapx cohpsiimj aha.
sei,"xoját hapéc quih hehe z iti mota, coocp iha.",¡xoxata péc quih hehe z itimotacoocp iha!,¡xoxata pac quih hehe z itimotacoocp aha!
sei,"ctam ticop ilít quij iti anxö taa ma, haait quih isoj cap hant cöyoop.","ctam ticop hilít quij iti anxö taa ma, haait quih isojc cap hant pyoop.","ctam ticop hilít quij iti anxö taa ma, haait quih isoj cap hant yoop."
sei,"cmiipla ha yax, himo hmiicatx.","cmiipla haaya x, himo miicatx.","cmiipla haaya x, himo hmiicatx."
sei,hataai imooxi zo hyexl.,hataai himooxi zo iyexj.,hataai himcoi zo iyexl.
sei,toii nt hizi moozi.,toii nt hizimozi.,toii nt hizimozi.
sei,zixcám caacoj com hax cöyiin oo.,¿sixcám caacoj com haxöc yinoj?,zixcám caacoj com haxöl yinloj.
sei,cmaax mos icaaitom ihmaa zo he szaxö caha.,cmaax mos hicaaitom ihmaazo he zaxoj caha.,cmaax mos icaaitom ihmaa he haxoj caha.
sei,quisiil ctam quih poosj cheel ih iyoaaf.,"quisiil tam quih poosj queel ih ihyoafp, ih yoafp.","quisiil am quih poosj quee ih ihyoafp, ih yoofp."
sei,"taax iicp hac itzaxö, ox mee.",tax iicp hac itzax oo xo xöme.,tax iicp hac iizax oo xo xöme.
sei,zaaj hac sahoosit caha.,zaaj hac sahooosit caha.,haaj hac sahooosit caha.
sei,hapaspoj iquiimot quih cohsaactim aha.,hapaspoj iiquiimot quih cohsaactim aha.,hapaspoj iiquiimot quih cohsaactim aha.
sei,"hixiiha quih ctam tiquij hamaax cöitaas, itamozimet ma, hita iisax yoheemt.","ixi ha quih ctam tiquij hamax cöitas, itamozimet ma, ita hizax yohemt.","ipi ha quih ctam tiquij hama. cöitáh, itamozimet ma, ata hiza yohemt."
sei,me iicp he caticpan iha.,¿me iicp he caticpan iha?,¿me iicp he icaticpan aha?
sei,"hax cömooca cap xiica an icaai coi cöpaas ta, cmaax insiisi aha.","hax cmooca cap xica nicaai quih paaasta, cmaax insisya aha.","hax cmootc cap xiica icaai quih paaasta, cmaax insisya aha."
sei,ziix canaao quih zixquisiil quih ipac iyaao.,ziix canaao quih ziix quisielc quih ipac iyaaojn.,ziix canaao quih ziix quihizlc quih ipac iyaazoj.
sei,he hasoj hin yomqueesnij.,he hasoj hin yomqueestnij.,he hasaj hin yomqueestnij.
sei,"zixquisiil tintica hant sahjiit taa ma, caazi tintica iiqui tpanzx, iyexl.","zax quisiiil tintica hant sahjiiita ma, caazi tintica iiquitpanzx, iyexl.","hax quisiil tintica hant sahjiit ma, caazi tintica iiquitpanzx, iyexl."
sei,pedro quih hin yasxeenot.,pedro quih inyasxeenot.,pedro quih inyasxeenot.
sei,"xiica iti icoiitoj coi tcooo, hehe iti icoohitim com compatjc.","xica ha, iti coiitoj cöit coi it coohet iti coohitim, com compatjc.","xiica ha, iti oiitoj cjip coi it cooha iti icoohitim com compatjc."
sei,cmaam quij hehe iti icoohitim com cacoxl iha.,cmaam com cmaam quij he iti coohitim com cahcoxl iha.,cmaam com cmaam quij he iti icoohitim com cacoxl iha.
sei,¡zixcám cpitol com himo cácatx!,ziix cam cöpítool com him oo cacatx.,ziix am cöpítool com him oo cacat
sei,anxö hin yoaal.,¡hantx hin yoaz!,hantx hin yazt
sei,¿isal haaya?,¡isal haaya!,iisax haaya
sei,canoaa hipcom yazaainim quih iiqui yihizj.,canoaa hipcom yasaa inim quiiqui iyihizj.,canoaa hipcom hansaa eenim hiiqui iyihizj.
sei,"zacaam cop spaspoj taa ma, xicaquiziil ctamcö tacoi itzaxöt ma, yoosim.","zacaam cop spaspoj taa ma, xiicaquizil tamt, tacoiiitza x, mayoosim.","zacaam cop saaspoj taa ma, xicaquiziil ctam, tacoiiitza x, mayoosim."
sei,cmajiic coi xicaquiziil coi imanooczilca.,"cmajiic coi ix iicaquaziil cömii, manooxilca.",cmajiic coi ix xicaquiziil cmiih manooxilca.
sei,¿itqueefz?,¿itqueefz?,¿itqueefz?
sei,ma hsnazquim aha.,ma hsnalquim aha.,ma hsnalquim aha.
sei,"xapoo com tooxi, hant yaait xo ixaap tapxa ma, cmaax yomapcö.","xac xapoo com toox ih hant yaait xo i xah ptapxam aha, xo hax yomapcö.","hac xapoo com toox ih hant haait xo hi xah tapxa aha, xo hax yomapcö."
sei,moxima quih hpyaapa.,moxima quih ihpyaapa.,moxima quih ihpyaapxa.
sei,¿canoaa ihanaxz quih canoaa com coox contaquesx?,canoaa ihan haxz com canoaa com coox contakesx.,canoaa iha haxz com canoaa com coox contakesx.
sei,me yaniiqui nsoohitim aha.,me hyaniiquin soohitim aha.,me yaniiqui icoohitim aha.
sei,siip quih zacaam quij ito cöiyapamas.,siip quih lacaam quih ito cöiyapamaz.,siip quih zacaam quih it cöiyapamaz.
sei,eenim hacx hapácatx zo hayooht.,eenim hacx hapácatx zo hayooot.,eenim hacx hapácatx zo hayooht.
sei,¿quiihya iic me tap?,¿quíiyahíc me tap?,¿quíiyahíc me tap?
sei,"hant ipot hax hac itaaila, ooti quij ittízotim, toc cömiihtim.","hantipot hax hac itaail ah oot iiquij, iti hzootim, tooc, cömihtim.","hantipot hax hac inaail ah oot iiqui iti hzootim, toocj cömihtim."
sei,"siml quih cöitcaaitax ma, icaalx iyomaaj.","siml quij cöitcaaitax ma, hicaalx iyoomajc.","siml quij cöitcaaitax ma, icaalx hyootajc."
sei,haaco aapa zo nsaai aha.,haaco hapal oo hin saai aha.,haaco hapapl oo hin saai aha.
sei,ihamoc cop hiiqui maanim.,ihamoc cop iiqui imanim.,ihamoc cop iiqui imanim.
sei,me hant com iti cömiitax hac mihiisax com impaain ihmiimzo.,"me hant quij iti cmiiitax hac mihiisax com impaain, ihmiimzoj ihi.","me hant quij iti miitax hac mihiisax com mpaai, ihmiimzoj ihi."
sei,czooxolcam coocj ih ihnyaa.,¡czoxöl cam coocj iihnyaa!,¡czoxöl am coocj iihnyaa!
sei,he méjico hac ano sahcaail caha.,he mej iicoc ano sahcaailca ha.,he me iicot ano sahcaailca ha.
sei,"zixquisiil cop itneefc ma, yaha.",zixquisiil cop itnefc cömayahá.,zixquisiil cop itnifz cömayahá.
sei,¡haaco cop cola quizaj iti caahca hac hateiictim z ano coosnan!,haaco cap cola quizaj iti caahca hac hateiictim z ano coosnan.,haaco cap cola quiij iti caahca hac hateiictim z ano coosnan
sei,cmaax hoox cöiiha hizac pyeest cah ano mahcaalim iiha.,cmaxox cöihahizac pyeestca ano ma hcalim iiha.,cmaax cöihahizac pyeest ano ma saalim iiha.
sei,hásatoj ccamla coi cohpsitalhaa aha.,hasatoj cacamla coi cohpsitalaa aha.,haaztoj cacöla coi cohpsitalhaa aha.
sei,xepe com xahtaasim.,xepe com xahtasim.,xepe com xahtasim.
sei,haaco ihyaai cop ihsasxapa aha.,haaco ihaai cop ihsasxapa ha ha.,haaco haai cop ihsasxapa ha ha.
sei,¿insaticpan haaya?,¿insaticpan haaya?,¿inyaticpan haaya?
sei,"cmaacoj tiquij comcaii aal quij hoox itacoxl, yáhitim.","cmaacoj tiquij com cayalquij, hoox itacoj lyaahitim.","cmaacoj tiquij com cayalquij, hoox caacoj iyaaitim."
sei,"pohamoc ta, hasaaitoj aha.","pohamoc ta, hasaaitoj aha.","pohamoc ta, hasaaiti aha."
sei,xiica hapahit pac toc cöyaii tax ¿intaaplim intaaix?,"xiica hapahit pac toc cöyaaitax, intaapleim, intaaix.","xiica hapahit pac toc cöyaaitax, intaapleim, intaaix."
sei,zixquisiil cmaa hapx caap com itoozj quih cói cocpám oo ha.,ziixquisiil cmaa hapx caap com itoozj quih coi cop chamo ha.,zixquisiil cmaa hapx caap com itoozi quih coi cop cato ha.
sei,"poofp x, saticpan ca haquix miih.",poofx saticpan cah haquix me.,coox saticpan cah haquix ma.
sei,icahii ihmaa mos pac toc cömiihca.,icaaiih ihmaa mos pac toc cömiihca.,icaai ihmaa mos pac toc cömiipca.
sei,queelexolca pti cyai coocj hacx ihyaailx.,queelexol cap tiic yaai pooc hacx yaailx.,queelexol cap hiic yaai cooc hacx iyaailx.
sei,he hicmiiquet cah heecot cöhimom iha.,he iicc miiquet cah heecot cöquiimom iha.,he iic hiiquet cah heecot cöquiimom iha.
sei,"hiiqui cöpohaita x, saapl caha.","iic iicp ohaaitax, saaplca ha.","iic iicp ohaaitax, saaplca ha."
sei,haaco quih isxáp hac hin hant yahjiit.,haaco quih isxap hac ina hant yahjiit.,haaco quih isaai hac ina hant yahjiit.
sei,icaaitom quiipe quih iiqui imiitni.,icaaitom quiipe quih quiimitni.,icaaitom quiipe quih quiimitni.
sei,he sooda sooi caha.,he soda sooi caha.,he sooda csooi caha.
sei,"iquiisax com iihom cöiizoj hac, taax ziix quiipe ha.","iquiisax com iihom cöquizoj hac ctaxzix, iipe iha.","iquiisax com iihom cöquinol hac ctaxzix, iip iha."
sei,comcaii quij isxeen oo yooitom.,comcaii quij isxeen oo yooitom.,comcaii quij isxeen oo cooitom
sei,iiqui imiin hac iiqui moqueetx iha.,iqui miinac quih imoqueetx iha.,iiqui miin. quih imoqueepe iha.
sei,ano yaait cop zaah quij iitax quih iiqui iipxa cop cöiyoomjc.,hano yaait cop saah quij itax quih iipx hacop cöiyomjc.,ano haait cop saa quij iitax quih iipx cop cöiyoomjc.
sei,peen zo he macaatla.,peenlo he macaatla.,peenlo he macaatla.
sei,"cöhihiim hac ano cöipitaai ta, ¡hacaalim!","¿pohiim hac ano cöipitaaita, hacaalim?","¿pohiim hac ano cöipitaaita, htacaalim,"
sei,moxima hihiisax com xaafzx xo cmaax hihiisax com ipot yoozoj.,moxima ihiisax com xaafzx oo cöpmaax ihiisax com hipotyozoj.,moxima ihiisax com caafzx oo cmaax ihiisax com hipotyozoj.
sei,icatoomec tazo poome ta ¿me scamahzaacat queeya?,"¿icatoomic tazo pometa meescam ah, zaacat queeya?",¿icatoomic tazo pometa meescam ah cacat queeya?
sei,"ipos itajíz ma, cos ixaai hapaztoj pac ipnij hac an imahootxöquij.","hipos itajiz ma, cosix haai hapaztoj pac ihpniij hac an imahootxö iij.","hipos itaai ma, cosi haai haaztoj pac ihpsiij hac an imahootxö iij"
sei,"¡haquejöc hipcom hamác quij cohziictim, stal!","¿háqueoj coi iicom hamác quij cohziictim, stal?","¿háqueoj coi iicot hamác quij cohziictim, tap?"
sei,"yaapapim, itiixim.","yaapapim, itiixim.","yaapapim, itiixim."
sei,hihaait quih anxö hapx miip.,ihaait quih anxö hapx miip.,haait quih anxö hapx miih.
sei,juan quij hahoocj iha.,juan quij hahoocj iha.,juan quij hahoot iha.
sei,hita quij ziix iyaatim.,hitaquij ziix iyatim.,himquij ziix iyaaitim.
sei,mihimoz quih iti hsaai aha.,mihimoz quih iti hsaai aha.,himoz quih iti hsaai aha.
sei,¡hahoot hac ihcaptxö!,¡hahoot hac ihcaptxö!,hahoot hac ihcaptxö!
sei,moosni quih sooyam caha.,moosni quih sooyam caha.,moosni quih sooctam caha.
sei,"haquejöc pac itamjc ma, cmaax ihpmiquejöc.","hatejöc pac itamjc ma, cömaax ih, miiquejöc.","haquejöc pac itamjc, ma, cmaax aih, miiquejöc."
sei,hamazaj quij hax quih hax iyaam oo.,hamazaj quij hax quih hax iyamoh.,hamazaj quij hax quih hax iyamoh.
sei,"hasaaiti quih cötootij ma, cöhatahémelcoj, heme hamiizcam.","hasaaiti quih cötootij ma, cöatahemelcoj, heme hamizcam.","hasaaiti quih cöcootij ma, cöatahemelcoj, heme hamiizcam."
sei,hitrooqui quij hasaaiti coozlil quih ano hsahaama aha.,itrooquij hasaaiti coozlil quij ano hsahám aha.,trooquij hasaaiti coozlil quij ano hsahaa aha.
sei,yeen iiqui hamitooij.,een iiqui hami toiij.,eec iiqui haai miij.
sei,hamiime com cöyoonoj.,hamii miicom cöyonoj.,hamoii hiicot cöyoop.
sei,"hast quij iti hptozám, cohtmihzx, hant ihptahjiit ma, hitoaa cop miictim.","hast quij iti hptozám, cohtmiizx, hant iptaj it ma, itoaa cap miictim.","hast quij iti hptozám, cohtmiizx, hant iitax it ma, itoaa cap hyictim."
sei,hax hant xah zo hasoziit aha.,hax hantxazo hasoziita aha.,hax hantxazo hasoziita aha.
sei,hahoot hac iiqui maanim.,ahoot hac iiqui manim.,ahoot hac iiqui manim.
sei,ctam ticop zixquisiil cop iiqui iyahípacot.,ctam ticop ziix quih isiil cop iiqui yahícpacot.,ctam ticop ziix quih hsiih cop iiqui yahícpacot.
sei,"haa nthiihat iti, matix xah ihaapl cop hiiix ih haxoj hamooiti.",hant iiha titi hmatix xah ihaapl cop iiix iihax oo xah mooiit ii.,hant iiha iti matix xah ihaapl cop iicx iihax oo xah cooit hi.
sei,siitax ca poho.,siitax capooho.,iitax capooho.
sei,eenim quih hapx iyooca.,eenim quih hapx iyooca.,eenim quih hapx iyooca.
sei,he hast ssizj caha.,he hast hsiizj caha.,he hast hsiih caha.
sei,trooqui hipquij cohpsacaato aha.,¡tru quih quij cop sacaat o ha!,¡tom quih quij cop cacat oo aha!
sei,cösiinoj caha.,¡psiinoj caha!,¡psiinoj aha!
sei,heezitim máquina quij ano hiifp ihpyazooxolcam.,he z iti maaquina quij ano hiifp ihpyazooxolcam.,he z iti maaquina quij ano siifp ihpyazooxolcam.
sei,miiquet quih ihacaatol xoaatim.,miiquit quih hyacaatol xöaatim.,miiqui quih cacaatol xöaait.
sei,hant ma hsiixquim aha.,hant ma hsiix quih ma ha.,hant ma hsiih quih ma ha.
sei,hiiholx ihxooin.,iholx ihoin.,colx ihi.
sei,"hax himiim oo cohtáh, ihpyatj.",hax himiim oo coht ahahipyatj.,hax hihiim oo cah ahahipyatj.
sei,haxaaza com coaanj iha.,haxaaza com coanje ha.,haxaaza com coanje ha.
sei,"ziix cyaam z iti cösama caha, cömisiifp hac.",ziix cyaam z iti csamca hatmo isiifat.,ziix cmaam z iti caahca cato isiifat.
sei,"cöipaspoj hizac ano cöihitaai hac hant thanl tazo cöitáh, toc contica iihi.","cöipaspoj isac ano cöitaiac, hant hant htazo cöitáh toc contica ihi.","cöipaspoj imac ano cöitaiac, hant hant tazo cöitáh, toc contica ihi."
sei,"tiix taaitom x, hanso yáxapim.","tiix taaitom x, hansoiac chaa pim.","tiix caaitom x, hansoiac chaa hi."
sei,¿teet?,¿teet?,¿teet?
sei,¿hant tomcoj cöitáh?,¿hant tómcoj coi taa?,¿hant tomcoj coi taa
sei,caamiz hapaasj quih hai cop hax iyahoalali oo.,caamiz hapasj quih haai cap hax iyahuaal yo.,caamiz haaj quih haai cap hax iyahuaal oo.
sei,com cói csiijim oo ha.,com coi csiijim oo ha.,com coi csiijim oo ha.
sei,moxima quih panaal hayocaat.,moxima quih ipanaaal hayocat.,moxima quih panaal hayooht.
sei,"itacoaazj, icamitc hax caziim oo pac ano cöiyaaspoj.","itacoaazj quih cahmitc, hax caziimopac ano cöiyaaspoj.","itacoaazj quih cahmitc, hax caziimopac ano cöicaaspoj"
sei,"cmaacoj quih haas quih anxö ipoomjc ta x, hita isapamjöc aha.","cmaacoj quih haas quih anxö iipomjc ta x, ita isapamjc aha.","cmaacoj quih haas quih anxö iipomjc ta x, ata ihsapatjc aha."
sei,"compamaxp ta x, saziim aha.",compamáx ptax saziim aha.,compamáx tax saziim aha.
sei,caha quih saha caha.,¡cah haquih sa haca!,cah haquix aa haa!
sei,"peez cooitom cömaaipot, haaonam quij iicp hac.","¿peez cooitom cmaaipot, haunám quij iicp hac?","peez cooitom cmaaipot, hascám quij iicp hac"
sei,¿zó hahoot hac it aalam?,¡zó haot hac iti haalam!,¡zó haat hac iti taalam
sei,"hantx cömiiha hac, hamoiij tiquij comcaaccmajiic z imacaalam, yoocyo.",hantx cömiihaac hamooiij tiquij comcaac majiic z imacaal han yoocyo.,hantx cömiiha hamoiij tiquij comcaac cmajiic z imacaal an yoocyo.
sei,hax hapasi hizcap iicp me hsaaix aha.,hax hapas iizcap hiip me saai xaha.,hax haas hizcap hiic me saai aha.
sei,hiifp quih iizax tazo íti coofin iha.,iif quihiizax tazoit iicoofin iha.,iic quihiizat tacoi iicoofin iha.
sei,zixcám quih insapxasit aha.,zixcám quih insapxasit aha.,zixcám quih insapxasit aha.
sei,¿miisax cötsiijim?,¿miisax ctiijim?,¿miisax csiijim
sei,"cosi quih iihax coha ha, cöiizquim hac.",cos iiqui hax coha coiizquim hac.,coi iiqui hax caha coiizquim hac.
sei,¡iicp pte nsacaaat aha!,icp ten sacaataa.,icáp an sacaataa.
sei,¿háqui quij socaaix queeya?,¿hac iquij socaaix queeya?,hac quij socaaix queeya?
sei,caamiz hipquih he ziix iiqui smimt caha.,caamiz iiqui he ziix iiqui isminth caha.,caamiz iiqui he ziix iiqui isminth caha.
sei,hamoz him xapitol.,hamoz hin xapitol.,himoz hin xapitol.
sei,¿me smot queeya?,¿me smot queeya?,¿me imoz queeya?
sei,hax matix xah tootar quih hyoohit.,"hax matex xah, tootar quih yoohet.","hax matix xah, tootar quih iyoohit."
sei,ihiisax com iiqui iscaaij ha z imá ha.,hiisax com iquiscaaix haz imaa ha.,hiisax com iquiscaaix ha cmaa ha.
sei,miizj hacx sonyeeno caha.,miizj hacx sonyeeno caha.,miizj hacx sonyeeno caha.
sei,¿pyeest quij ano coii coi cmaax hant safeaacol queeya?,¿pyeest quij ano coiicoi cmaax hant safyaacol queeya?,pyeest quij ano coiicoi cmaax hant safyaacol queeya?
sei,"cmaacoj cop yecyar quih itcaao ma, yomoqueepe.","cmaapcoj cop yequiar quih itcao ma, yomoqueepe.","cmaacoj cop yequiar quih iicto ma, yomoqueepe."
sei,pyeest quij cocyaxi ha.,pyeest quij cocyax e ha.,pyeest quij cocyaai he ha.
sei,"hita hiiqui ipoocatx ta x, inyaao quih hsaao aha.","hita, hiic quih ipócatx ta x, inyaao quih hsao haa.","hita, hiic quih ipócatx ta x, inyaa quih ha ha."
sei,¿intacomca?,¿intacómca?,¿intacómca?
sei,"eaz coi hant com cöpahpatjc ta x, cösootij aha.","yaaz coi anx com cöpapatjc tax, csootj iha.","yaa coi an com cöpapatjc tax, cmootc iha."
sei,¿hax chaaya iiqui tpam?,¡hax caaya iiqui tpám!,¡hax caaha iiqui azám!
sei,"ctam zo toc cötiih, xepe com hacx cöyomiih.","ctam zo toc cöti, xepe com hacx cöyomii.","ctam zo toc coi, xepe com hacx cömoii."
sei,"hasaaiti coozlil quih hicaamiz quih iti himo tpazjc, coox iyaháx.","hasaaiti coozlil quih iicaamiz quih iti motpazjc, coox iyahax.","hasaaiti coozlil quih hicaamiz quih iti tpazjc, coox iyaamx."
sei,"pohamoc ta, hpiheexoj, ziix coaafp he scaiitim caha.","pohamoc ta, pyeexoj ziix coaafhe scaaitim caha.","pohamoc ta, pyeexoj ziix coaafp caaitim caha."
sei,hapxa coi hamisj quij ano caamtoj iha.,hapx hac coi ham isj quij ano caamtoj iha.,hapx hac coi am iij quij ano caacoj iha.
sei,ihaapl cap macaatol.,haapl cap ma caatol.,hapapl cap ma caatol.
sei,zixcám hoyaazi com he scacj caha.,zixcám hoyaa zicom he scacj caat.,zixcám hayaa ticom he oyacj caaha
sei,"hant haa pooco ta, haptco hapoolx, hasaticpan aha.","hant haapoco ta, haptco hapoozx hasaticpan aha.","hant haaco ta, haptco hapoozx ihpsaticpan aha."
sei,cooit iyomís.,cooit iyo mes.,cooit ano mee.
sei,¿tázoya itisla?,¿tazoya itisla?,¿tazoya itisla?
sei,"hiisax com tatax ma, xaa hpmotj.","iisax com tatax ma, xaapmotj.","iisax com catax ma, xaapmotj."
sei,quihehe quij cöiyaticpan hac miizj hacx ixaafin.,"quiéhe quih cöiyaticpan hac, miizj hacx ixaafin.","quih quih cöiyaticpan hac, miizj hacx xöafin."
sei,cösihiimat quih hax ihmoocta.,¡xisiim mat caax ihmooc taa!,¡xisiim ma caai ihamoc haa!
sei,"milít ihpacoaazj, ma hsamíticot aha.",mix iti paco hacx ma samic tipo caa.,ix iti pac hacx ma hamác himo caai
sei,¿me zó him quiiya?,¿me zóim quih iya?,¿me cói quih iya.
sei,"he tcajíp, cöiquiim hac ah hyoqueepe.",¡hetcaj hip coi quih imagayokeepe!,¡hetcaj hap coi quih imagayokeepe!
sei,"poheenim x, siiscan aha.","poeenim x, siisca naa.","eenim x, siipca taa."
sei,¿hahoot hac itimt?,¿cao otac itint?,ca itac itint?
sei,¿ziix hacx tiij coos quij nsahiipet haaya?,¡ziix hacx tiij coos quij insahii pet haaya!,¡ziix hacx tiij coos quij ihsahiti eec haaya
sei,¡pac he haxólocot!,hac he haxolocot.,hac he haxolocot.
sei,he hicmiiquet cah hant ihyomaamac.,¿he cmiiquet caha hant iyomaamn hac?,he cmiique caha hant iyomaaj. hac
sei,"ctam, tiix yaticpan quih aamo cahiyat iha.","ctam, tiix yaticpan quih haa moca iya taha.","ctam, tiix yaticpan quih haa moca iha aha."
